Title,default,default_short,stability,technical
Baby red dragon,"This small creature boasts a vibrant crimson scale-covered body, its wings underdeveloped but still hinting at future grandeur. Its eyes, a fiery orange, gleam with youthful curiosity and mischief. Despite its size, the sharpness of its tiny claws and the row of pointed teeth in its mouth hint at a formidable future.","This small creature has vibrant, crimson scales covering its body, two tiny wings, and a pointed tail. Its eyes glow with a fiery light, and it has sharp claws and fangs.","A baby red dragon from NetHack is a small, vibrant red creature with wings, sharp claws, and a long tail. It has pointed, fiery eyes and a mouth that can emit fire. The dragon's body is covered in shiny, red scales and it possesses a fierce yet youthful look.","This object appears as a small, winged creature, with a serpentine body, clawed feet, and a pointed tail. It is rendered in a vibrant shade of red, with darker shades outlining its scales, wings, and facial features. The creature's eyes are two small, black pixels, adding a touch of contrast to its predominantly red color scheme."
Baby white dragon,"A small, scaly creature, its body is a pristine white, similar to freshly fallen snow. It possesses sharp claws, piercing blue eyes, and a row of spiky protrusions running down its spine to the tip of its long, sinuous tail. Despite its youthful appearance, there's an aura of raw power around it, especially noticeable when it spreads its tiny, yet majestic wings.","This creature is a small, scaled dragon with pure white coloration, featuring youthful features, sharp claws, and diminutive wings. Its eyes gleam with intelligence, and a puff of frosty breath can often be seen escaping from its mouth.","A baby white dragon is a small, compact creature with a sleek, scaly body in a bright white color. It has tiny wings, sharp claws, and a long tail, and it breathes a frosty breath. Its eyes are piercing and its overall demeanor is fierce, despite its young age.","The object appears as a small, quadrupedal creature with a long, serpentine tail, and a pair of wings folded against its back. It possesses a distinctly reptilian visage, complete with a pair of horns and sharp, pointed teeth visible within its opened maw. The entirety of its body, from the tip of its snout to the end of its tail, is a pristine, unblemished white."
Baby orange dragon,"This small creature possesses a vibrant, tangerine-hued scale armor, with a pair of wings folded at its back. Its snout exhales small puffs of smoke, hinting at its fiery nature, while its eyes gleam with a playful intelligence. Its compact, muscular body and clawed feet suggest a creature of strength, despite its young age.","This creature is a small, vibrant orange dragon with delicate wings and a pointed tail. It has gleaming, fiery eyes and sharp claws, with scales that shimmer like fresh citrus.","A small, adorable dragon with a round body and short legs, featuring bright orange scales. It has tiny wings, expressive eyes, and a cute snout with little puffs of smoke occasionally escaping. Despite its small size, it still possesses sharp claws and a tail with a pointed tip.","The object is a small, dragon-like figure, with a compact, serpentine body and tiny wings. It is entirely monochromatic, displaying a bright, vivid orange colour throughout. Its scales are finely detailed, and it has a pair of small, sharp horns on its head."
Baby black dragon,"This creature is a miniature, reptilian beast with ebony scales that glint darkly under light. Its small, sharp wings are folded at its back and its eyes glimmer with a dangerous intelligence. A puff of black smoke escapes its nostrils as it bares its tiny but sharp teeth.","This creature is a small, sleek dragon with glossy black scales that glint in the light. It has sharp claws, piercing red eyes, and a row of tiny yet fierce teeth visible when its mouth is open.","A baby black dragon is a small, winged creature with a slender body and a long tail. It is completely black, resembling charcoal, with glowing red eyes. Its defining features include sharp claws, pointed teeth, and smoke occasionally emitting from its nostrils.","The object appears as a small, quadrupedal creature, exhibiting a sleek, scaled body and a pair of wings folded at its back. It possesses sharp, defined features such as claws, teeth, and horns, all of which are contrasted by its uniformly jet-black colouration. Its tail is long and thin, ending in a spade-like shape, and its eyes are depicted as small, white, and glowing."
Baby blue dragon,"This creature is a small, winged reptile with soft, azure scales covering its body. Its eyes are a bright, piercing yellow and its tiny sharp claws and teeth hint at its predatory nature. Despite its size, the creature exudes a sense of danger, its tail ending in a barbed tip and small plumes of smoke occasionally escaping from its nostrils.","This creature is a small, sky-blue colored dragon with sharp claws, a pointed tail, and wings. It has gleaming, reptilian eyes and a mouth full of tiny, sharp teeth.","A baby blue dragon is a small, mythical creature with a compact, muscular body. It has bright, baby blue scales, large wings, sharp claws, and a long tail. Its eyes are glowing and it has a fiery breath, symbolizing its ability to breathe fire.","This object is a small, quadrupedal creature with a slender body, wings and a long tail, all rendered in a bright, light blue hue. It has an elongated head with two small horns, tiny white fangs visible in its open mouth, and round eyes that are a slightly darker shade of blue. The scales covering its body are visually suggested by a series of small, regular, darker blue dots."
Baby green dragon,"This small creature has a vibrant, emerald-green scale-covered body, with tiny, budding wings on its back and sharp claws on its feet. Its eyes glow a bright yellow, full of curiosity and youthful energy. A faint plume of smoke occasionally escapes from its snout, hinting at the fiery breath it will one day possess.","This is a small, reptilian creature with bright, emerald-green scales, possessing a pair of wings and a long, slender tail. It has sharp claws, a pointed snout with small, white teeth, and eyes that glow with a youthful, yet fiery, intensity.","A baby green dragon is a small, reptilian creature with a bright, emerald-green body. It features two small wings, sharp claws, and a pointed tail. Its eyes are piercing and its mouth is filled with tiny, sharp teeth.","This object appears as a small, quadrupedal creature with a long, slender tail and a pair of wings folded against its back. It is covered in scales that are a vibrant shade of light green. Its head features two pointed ears, sharp teeth visible in its opened mouth, and bright, piercing eyes."
Baby yellow dragon,"This creature is a small, reptilian being with golden-yellow scales that shimmer under light. It possesses two tiny wings, not yet fully developed, and a long, sinuous tail. Its eyes are bright, curious and a little mischievous, and it emits occasional puffs of smoke from its nostrils.","This creature is a small, reptilian being with bright yellow scales, tiny wings, and sharp claws. Its eyes gleam with intelligence and its mouth reveals a set of small, yet deadly, fangs.","A baby yellow dragon from NetHack is a small, vibrant yellow, dragon-like creature. It has a slender body with small wings, sharp claws, and a long tail. Its eyes are red and it often appears surrounded by a faint yellow glow.","This object is a small, winged creature with a serpentine body, all uniformly coloured in a bright, vivid yellow. It has a pair of short, curved horns on its head, and its tail tapers to a point. Its body is covered in fine, scale-like textures, and it has a pair of bright, round eyes."
Gray dragon,"This creature is a massive, serpentine beast with thick, rough scales in various shades of gray. Its eyes are piercing, glowing with an ominous light, and its large wings are bat-like, stretching out wide on either side of its body. A plume of smoke constantly wafts from its nostrils, hinting at the destructive fire-breath it is known to possess.","This creature is a large, majestic dragon with thick, rough scales that are a uniform, dull gray color. It has fierce, piercing eyes, sharp claws, and a row of spines running down its back, ending in a long, sinuous tail.","A large, menacing dragon with a sleek, muscular body shape. Its scales are varying shades of gray, giving it a stone-like appearance. It has large, powerful wings, sharp claws, and breathes a stream of magic missile.","The object is a large, quadrupedal creature with a long, serpentine tail and two leathery wings extending from its back. It has a pair of sharp, pointed horns protruding from its head and a row of spines running down its back, all the way to the tail. The entire body of the creature, including its wings, horns, and spines, is a uniform shade of gray."
Silver dragon,"This entity appears as a large, serpentine creature with a sleek, metallic body that gleams silver under light. It has sharp, gleaming scales, majestic wings, and piercing, intelligent eyes. Its claws and fangs are formidable, and it carries an air of both elegance and danger.","This object is a large, sleek dragon with a metallic silver hue, complete with sharp claws, pointed teeth, and expansive wings. Its eyes gleam with intelligence and it possesses a row of spiky ridges running down its spine.","A majestic, large dragon with a sleek, muscular body and expansive wings, entirely in shimmering silver hues. It has piercing, intelligent eyes, sharp claws, and a long, sinuous tail. The dragon exudes a sense of power and elegance, with a breath of frosty chill, typical of a Silver Dragon from the game NetHack.","The object is a large, sleek, serpentine creature with a muscular body and two grand wings extending from its back. It possesses a long tail, sharp claws, and a majestic head adorned with two horn-like appendages. The entire creature is a shimmering, metallic silver colour."
Shimmering dragon,"This entity is a large, awe-inspiring creature with scales that refract light, creating a mesmerizing, iridescent display across its body. Its eyes gleam with an intelligent, almost mystical light, and its wings, when unfurled, are vast and translucent, catching the light like prisms. Every movement it makes causes its scales to shimmer and shift in color, enhancing its ethereal and majestic aura.","This creature is a large, serpentine figure covered in iridescent scales that reflect light in a spectrum of colors. It has large, leathery wings, sharp claws, and a pair of piercing eyes that glow with an intense light.","A large, majestic dragon with shimmering, iridescent scales that reflect a spectrum of colours. It has an imposing figure with large wings, sharp claws, and a long tail. The dragon is surrounded by an aura of mystical energy, and its eyes glow with an intense light.","The object is a dragon-shaped entity with a serpentine body, two wings, and four clawed legs. It is visually striking due to its shimmering, multi-coloured surface that seems to shift and change as if reflecting a rainbow. The creature's eyes are depicted as two bright, glowing points, enhancing its otherworldly appearance."
Red dragon,"This creature is a large, menacing beast with scales of a deep, fiery red. It has a pair of mighty wings, sharp claws, and a tail ending in a pointed barb. Its eyes gleam with intelligence, and smoke curls from its nostrils, hinting at the inferno it can unleash from its maw.","This entity is a large, imposing creature with ruby-red scales, a pair of massive wings, and a long, pointed tail. It has sharp claws, fearsome teeth, and eyes that glow with a fiery intensity.","A large, fierce dragon in a vibrant shade of red with large, sharp claws and teeth. It has massive wings, a long tail, and emits flames from its mouth. The dragon's eyes are glowing and it's surrounded by a medieval, dungeon-like setting typical to NetHack.","The object is a dragon-shaped entity, predominantly red in colour, with an elongated body, large wings, and a pointed tail. It features a pair of horns on its head, sharp claws on its feet, and its mouth is designed to appear as if it's spewing fire. The dragon is depicted in a traditional, mythological style, with detailed scales covering its body."
White dragon,"This entity is a massive, reptilian creature, adorned with scales that shimmer in a brilliant, snowy white hue. It possesses a pair of large, leathery wings, and its head is crowned with two curving, icy horns. Its eyes glow with a chilling blue light, and it exhales a breath as cold and biting as a winter's wind.","This entity is a large, imposing creature with scales of a pure, icy white color, and it has piercing blue eyes, sharp claws, and a set of powerful wings. Its mouth is filled with razor-sharp teeth and it can expel a chilling breath that seems to freeze everything it touches.","A white dragon from NetHack is a large, majestic creature with a powerful, serpentine body. It is entirely white, symbolizing its icy breath, with sharp claws, fierce eyes, and large, spread wings. Its defining characteristics include a long, spiked tail and a crown of horns on its head.","The object is a quadrupedal, serpentine figure with a long tail, large wings, and a pointed snout, all rendered in simple, pixelated graphics. It is entirely white, giving it a monochromatic appearance. Its eyes are two black pixels, the only contrast on its body."
Orange dragon,"This creature is a large, vibrant orange dragon with piercing yellow eyes. It has a muscular, serpentine body covered in thick, glossy scales, and massive wings that ripple with power. Its long, curved claws and a mouth full of razor-sharp teeth exude a sense of danger, while a plume of smoke rising from its nostrils hints at its fiery breath.","This creature is a large, fearsome dragon with bright orange scales that gleam as if on fire. It possesses a pair of massive wings, sharp claws, and a long tail, all contributing to its intimidating presence.","A large, majestic dragon with a vibrant orange hue. The dragon has two large wings, sharp claws, and breathes fire. It has a long, serpentine body with scales, and a pair of fierce, glowing eyes.","The object is a dragon-shaped figure, primarily dominated by a vibrant, citrus-like orange colour. It possesses a streamlined body, a pair of wings, a long tail, and a head with sharp features like pointed ears, a snout, and open jaws. The overall shape is angular and pixelated, in keeping with the game's retro, 8-bit aesthetic."
Black dragon,"This creature is a large, menacing dragon with obsidian-black scales that shimmer in the light. It has piercing red eyes, large wings, and a long tail, all of which add to its intimidating presence. Sharp claws and deadly fangs protrude from its body, and a plume of smoke rises from its nostrils, hinting at the fiery breath it's capable of unleashing.","This entity is a large, menacing creature covered in pitch-black scales, with sharp claws, deadly fangs, and glowing red eyes. It possesses massive wings, a long, spiked tail, and breathes a stream of disintegration energy.","A large, menacing dragon with sleek, obsidian-black scales covering its body. The dragon has glowing red eyes, sharp claws, and a tail ending in a spiky tip. It breathes black smoke and fire, and its wings, when extended, have a leathery texture.","The object is a large, sinuous figure, resembling a traditional Eastern dragon with a serpentine body and four clawed legs. It is entirely black, with a matte finish that absorbs light, giving it a sense of depth and menace. Its eyes are a piercing red, providing a stark contrast against its dark body."
Blue dragon,"This creature is a massive, imposing beast with scales that shimmer in various shades of blue, reflecting light like sapphires. Its eyes glow with an intense, electric blue light, and its powerful body is complemented by large, bat-like wings. It boasts sharp, ivory claws and a row of deadly, pearl-white teeth, while from its mouth, it can unleash a terrifying bolt of lightning.","This creature is a large, reptilian beast with glossy, sapphire-blue scales covering its body, and a pair of wings folded at its back. It has fearsome, glowing yellow eyes, sharp claws, and a mouth filled with formidable teeth, all complemented by a long, spiked tail.","The object is a large, majestic dragon with a powerful, muscular body. It is completely covered in bright, shiny, sapphire-blue scales. It has large, piercing yellow eyes, sharp claws, broad wings, and emits blue flames from its mouth.","The object is a large, quadrupedal creature, characterized by its distinctive serpentine form with wings extending from its back. It possesses a long, tapering tail and a head adorned with two horns and fringed with sharp teeth. The entirety of its body, including its scales, wings, and eyes, is rendered in a deep, vibrant blue."
Green dragon,"This creature is a large, imposing dragon with emerald-green scales that glisten like polished jade. It has sharp, menacing claws, powerful wings, and a long, sinuous tail. Its eyes glow with an eerie, intelligent light and a puff of toxic green smoke occasionally escapes from its nostrils.","This creature is a large, serpentine beast with emerald-green scales covering its body, large wings, and a long tail. It has sharp claws, menacing yellow eyes, and a mouth full of razor-sharp teeth.","A large, majestic dragon in various shades of vibrant green. The dragon has wide, leathery wings, sharp claws, a long tail, and breathes a jet of green flame. It's depicted in a dynamic pose, indicating movement and power, typical of its portrayal in the game NetHack.","The object is a dragon-shaped entity, exhibiting a predominantly green colour, reflecting its name. It has an elongated, serpentine body, a pair of large, bat-like wings, and a spiky tail. Its head features two horns, a pair of red eyes, and a mouth filled with sharp teeth."
Yellow dragon,"This creature appears as a large, imposing dragon with vibrant, golden-yellow scales that shimmer under the light. Its eyes are bright and intelligent, and its body is sleek and muscular, adorned with sharp claws and a row of spines down its back. The dragon's most striking feature is its wide, powerful wings, which it keeps folded at its sides when not in flight.","This creature is a large, serpentine beast with golden-yellow scales, gleaming eyes, and expansive wings. It possesses sharp claws, a row of spines running down its back, and breathes a stream of bright, destructive light.","A large, majestic dragon with a bright yellow body. The dragon should have a long, serpentine body with large wings, sharp claws, and spiky scales. It should be depicted in a powerful stance, breathing fire.","The object is a vibrant, canary yellow in colour, shaped like a traditional serpentine dragon with elongated, sinuous body, sharp claws, and a pair of wings. It has a distinct, angular head with two pointed horns and its mouth open in a fearsome roar, revealing sharp teeth. Its tail tapers to a fine point and its wings, while folded, have visible ridges indicating the skeletal structure beneath."
Stalker,"This entity is a spectral figure, almost completely transparent and nearly invisible against its surroundings. Its form is humanoid, but it lacks any distinct facial features or clothing, appearing more like a silhouette made of mist or smoke. Only when it moves does its presence become apparent, its outline blurring and shimmering as it glides silently through the air.","This entity appears as a translucent, humanoid figure, almost ghost-like in nature. Its form flickers and wavers, making it difficult to discern any detailed features.","The Stalker object is a floating, ethereal entity with a vague humanoid shape. It is translucent with a subtle blue tint, and its form constantly shimmers and shifts, making it hard to discern any specific features. Its most defining characteristic is its pair of glowing white eyes, which stand out starkly against its form.","The object is depicted as an invisible, humanoid figure, hence no distinct shape, color, or features can be visually discerned. It is represented only by an empty space or, when detected, a faint, translucent outline barely distinguishable from the surrounding environment. It carries no items or weapons, reinforcing its elusive and enigmatic appearance."
Air elemental,"This entity appears as a swirling, almost transparent vortex of wind and air, constantly shifting and changing shape. It's like a small, contained tornado, devoid of any solid form or color, but its presence is evident by the way it distorts the space around it. Occasionally, faint flashes of lightning can be seen within its form, further emphasizing its ethereal and volatile nature.","This entity appears as a swirling, transparent vortex of wind and air, its form constantly shifting and changing. Its presence is mostly indicated by the movement of surrounding objects and the distortion of light.","A formless, swirling entity made up of transparent air currents. It is constantly shifting and moving, making it difficult to define a solid shape. The Air elemental appears to be sparkling with tiny white particles, similar to dust particles caught in a sunbeam.","The object is amorphous, constantly shifting and changing in form, resembling a swirling mass of air. It is transparent and virtually colourless, only slightly distorting the light passing through it. It does not carry or wear any items, giving it a clean, unadorned appearance."
Fire elemental,"This entity appears as a swirling, sentient mass of bright, dancing flames. Its form is ever-changing, flickering between vaguely humanoid and abstract shapes. Its fiery body radiates intense heat, causing the surrounding air to shimmer and warp.","This entity appears as a swirling, blazing inferno with a vaguely humanoid shape, radiating intense heat and flickering in hues of red, orange, and yellow. Its form is constantly shifting and moving, like a living, breathing bonfire.","A fire elemental is a swirling, semi-transparent entity composed entirely of bright orange and red flames. It has no definitive shape, constantly changing like a wild fire, but it often takes a vague humanoid form. Its defining characteristic is its flame composition, radiating light and heat.","This object appears as a constantly shifting, semi-translucent entity composed entirely of bright orange and yellow flames. It lacks a defined shape, fluctuating between vaguely humanoid and chaotic, formless bursts of fire. Its edges flicker and dance, casting a warm, intense light around it."
Earth elemental,"This entity appears as a massive, shifting mound of rocks, soil, and gemstones, constantly rearranging itself into vaguely humanoid form. Its body is made up of various earthly elements, such as dirt, stones, and plants, giving it a rough and rugged texture. Its eyes glow with a deep, unyielding light, resembling precious stones embedded within its form.","This entity appears as a large, amorphous mass composed entirely of rocks, soil, and other earthen materials. Its form constantly shifts and changes, resembling a moving, sentient mound of earth.","A sphere-shaped object representing the Earth elemental in the game NetHack. The object should be a blend of rich browns and greens, symbolizing the earth and nature. It should display defining characteristics such as rocky textures, plant life, and a slight glow to signify its magical properties.","This object appears as a large, humanoid figure composed entirely of solid rock and soil. It has a rough, jagged surface with a mixture of brown and grey hues, mimicking the appearance of natural earth. The shape is bulky and solid, with discernible arms and legs but lacking in detailed features."
Water elemental,"This entity appears as a swirling, translucent mass, constantly shifting and undulating in shades of blue and green. It is vaguely humanoid in shape, but lacks defined features, its form constantly changing like a living, moving body of water. Occasionally, within its fluid form, you can catch glimpses of what seem like faces or limbs, but they quickly dissolve back into the elemental's watery body.","This entity appears as a swirling, amorphous mass of water, constantly shifting and changing shape. Its form is translucent and reflects light like a body of water, giving it a shimmering, fluid appearance.","A water elemental from NetHack is a semi-transparent entity with fluid, shifting form, similar to a swirling vortex or whirlpool. It's primarily blue, ranging from light to dark shades, symbolizing water. The water elemental may also exhibit some white foam-like textures, and has no discernible facial or bodily features.","This object appears as a swirling, fluid mass, constantly shifting and flowing, without a definite shape. Its colour ranges from deep blue to transparent, mimicking the varying shades of water. It is devoid of any carried objects or distinguishable features, its form solely comprised of the liquid element."
Lichen,"This entity appears as a small, leafy organism with a flat body that clings to surfaces. It displays a wide range of colors, from green to grey, with a slightly rough, textured surface. Despite its immobile nature, it seems to pulsate subtly, giving it an eerie sense of life.","A flat, leafy organism that is greenish-gray in color, often growing on rocks or tree trunks, with a crusty or branched appearance. Its surface may appear to be dusted with a powdery substance.","A lichen from the game NetHack is a simple, flat organism that is bright green in color. It has a circular shape with a rough, textured surface resembling a small patch of moss. It is static and lacks any distinguishing features or limbs.","This object appears as a small, flat organism, with an irregular circular shape. It is characterized by a grey-green hue and a rough, textured surface that resembles a mix of moss and crusty fungus. It lacks any form of appendages or discernible features, remaining stationary and blending with the environment."
Brown mold,"This entity appears as a sprawling, irregular mass with a rough, textured surface that resembles a patch of earthy brown fungus. It seems to expand in a creeping manner, covering the ground or walls like a natural blight. Its undulating form gives it a slightly unsettling appearance, as if it's constantly growing and changing.","It appears as a flat, amorphous mass with a spongy texture, covered in a dusty brown hue. The surface is uneven, with irregular contours and a slightly moist sheen.","A round, fuzzy object with a brown colour that resembles a patch of mold. It has an uneven, textured surface, mimicking the natural growth pattern of mold. It should appear organic and slightly amorphous, as if it could spread or grow.","This object appears as a small, irregularly shaped mass with a rough, textured surface. It has a distinctive earthy brown colour, mimicking the appearance of actual mold or fungus. It is stationary and does not possess any appendages or visible features, giving it a simple, unadorned appearance."
Yellow mold,"This entity appears as a bright, yellowish cluster of fungi, its surface uneven and textured, akin to a sponge or coral. It's non-moving, and seems to blend with the stone walls and floors. Its phosphorescent glow lends it an eerie, otherworldly aura.","This object appears as a bright, yellow fungus with a flat, circular shape and a spongy texture. It has irregular edges and small, scattered spots of darker yellow, suggesting growth or decay.","A yellow mold is a simple, flat, circular organism with a bright yellow hue. It's texture appears somewhat fuzzy or spongy, resembling real-world fungus or mold. It does not have any distinct features or appendages.","This object appears as a small, irregularly shaped formation with a distinct yellow hue. It lacks any distinctive features or appendages, resembling a patch of discolouration more than a standalone object. Its texture appears somewhat spongy and porous, much like real-world mold or fungus."
Green mold,"This object appears as a vibrant, emerald-hued fungus, expanding in a circular formation with a slightly irregular, bumpy texture. It gives off a faint, eerie glow, illuminating the surrounding area with a soft, green light. Despite its simple, unassuming form, it seems to pulse with a strange, almost otherworldly energy.","This entity appears as a small, amorphous mass with a vibrant green color, resembling a patch of common mold or fungus. Its surface is slightly shiny and wet, giving it a slimy look.","A circular, fuzzy object with a bright green color resembling mold. It should appear slightly translucent, giving an impression of a slimy texture. The mold is in a pixelated style, consistent with the aesthetic of the NetHack game.","This object appears as a small, amorphous mass with an irregular, blob-like shape. It has a bright, vivid green color that stands out against the game's typically darker backgrounds. It does not have any visible features or appendages, and is not carrying or wearing any items."
Red mold,"This organism appears as a small, amorphous mass with a vivid red hue, reminiscent of a fungus or mold. It lacks any distinct features, such as eyes or limbs, giving it a simple, blob-like appearance. Its surface is slightly textured, much like the surface of a real-world mold or fungus.","This object appears as a small, crimson-hued fungal growth with a soft, spongy texture. It has an irregular, rounded shape with slightly bumpy surface.","A red mold object from the NetHack game is a small, bright red, fungi-like creature. It has a semi-circular shape with a textured, spongy appearance. Its defining characteristic is its vivid red color which stands out against the game's typically darker backgrounds.","This object appears as a small, stationary mass with an irregular, amorphous shape. It has a vivid, bright red hue, giving it a distinctive appearance. The texture appears somewhat fuzzy or velvety, akin to real-world mold or fungus."
Shrieker,"This entity appears as a simple, upright-standing fungus with a tall, thin stalk and a bulbous cap, both of which are a deep, inky blue. It has no discernible facial features, limbs, or other anthropomorphic characteristics. Its form seems to pulsate subtly, as if it is constantly vibrating or shuddering.","This entity appears as a large, upright fungus with a round cap and a slender stem. Its body is a vivid violet color, and it emits a faint, eerie glow.","A Shrieker from NetHack is a mushroom-like creature with a stout stem and a broad, domed cap. It is primarily a dull grey in colour with subtle, darker grey shading. Its defining characteristic is its lack of visible eyes or other distinguishing features, making it appear as a simple, yet ominous, fungal entity.","The object appears as a stationary, upright cylindrical entity, roughly humanoid in shape but lacking any distinct features such as arms or a face. Its exterior is covered in a rough, spongy texture resembling a mushroom, predominantly in a deep shade of purple. It is devoid of any additional accessories or carried items."
Violet fungus,"This organism appears as a towering, multi-stalked fungus, with a vivid violet hue. Its cap is speckled with darker spots, and beneath it hang gill-like structures. The lower portion of the stalks seems to be embedded in a mass of mycelium, hinting at a vast underground network.","This object is a mushroom-like organism with a tall, slender stalk and a broad cap, both of which are a vibrant shade of violet. It has a slightly luminescent quality, adding an eerie glow to its otherwise simple, fungal structure.","A violet fungus from the game NetHack is a tall, cylindrical creature with a cap-like top. It is entirely violet, ranging from light to dark shades. It has multiple tentacle-like appendages protruding from its base and cap.","This object appears as a small, stationary organism with a cylindrical stem, roughly the size of a small tree. It is characterized by its distinct violet hue, with darker shades at the base and lighter at the top. The top of the stem expands into a cap-like structure, similar to a mushroom, which is covered in spore-bearing gills."
Gnome,"This small humanoid figure stands roughly three feet tall, with a stout build and a ruddy complexion. It is distinguished by a white, pointed beard and a conical hat, typically red or blue in color. The figure is often depicted with a pickaxe or similar tool, indicating a propensity for subterranean activities.","This small humanoid creature has a stocky build, standing about 3 feet tall, with a ruddy complexion, pointed ears, and a white beard. It wears simple clothing and a pointed hat, and often carries a pickaxe or other mining tool.","A small, humanoid figure with a pointed hat, typically in shades of green or brown. The gnome has a full beard, round belly, and carries a small pickaxe or other tool. Its appearance is earthy and rugged, reminiscent of stone and forest.","The object is a small humanoid figure, roughly half the size of a human, with a conical hat atop its head. It has a rounded body, short limbs, and a prominent, bulbous nose. The entire figure is uniformly monochrome, rendered in a light grey hue."
Gnome lord,"This creature stands short, similar to a human child, with a stocky build and a long, white beard. It is garbed in earthy tones, donning a pointed hat and carrying a small, gleaming axe. Its eyes twinkle with mischief and wisdom, belying its small stature.","This entity appears as a small, bearded humanoid with a pointy hat, dressed in regal attire. He carries a weapon and has a stern, commanding expression.","A small, stocky figure with a bushy beard and pointy hat, the Gnome lord is predominantly depicted in earthy tones of brown and green. He carries a scepter as a symbol of his lordship and wears a suit of armor. His facial expression is stern, reflecting his authoritative status.","This object appears as a small, humanoid figure with a rotund body and a disproportionately large head, standing at roughly half the height of a human. It is depicted with a distinctive conical hat, pointed ears, and a bushy beard. The figure is primarily a monochromatic grey, with the exception of its red hat."
Gnomish wizard,"This small figure is depicted as a gnome with a long beard, wearing a pointed hat and robe, both adorned with mystical symbols. In one hand, he holds a staff with a glowing tip, while the other hand is outstretched as if casting a spell. His features, though diminutive, are etched with an expression of concentration and wisdom.","This entity appears as a small, bearded figure clad in a pointy hat and flowing robes, with a staff in one hand and a spellbook in the other. Its eyes glow with an arcane light, suggesting magical prowess.","A Gnomish wizard from NetHack is a small, humanoid figure with a beard, wearing a pointed hat and robe, both in vibrant blue. He carries a magical staff in one hand and a spellbook in the other. His face is hidden under the shadow of his hat, emphasizing his mysterious and magical nature.","The object is a small, humanoid figure standing upright, with distinctive pointed ears and a conical hat, indicative of its magical nature. It is rendered in a simplistic, pixelated style with a primary colour scheme of blues and greys. It has a round body, short legs and arms, and a white beard, adding to its overall whimsical and fantastical appearance."
Gnome king,"This figure stands short and stout, exuding an air of authority despite his small stature. His regal attire consists of a jewel-encrusted crown atop his bald head, a lavish cloak, and a scepter in his hand. His beard is long and white, contrasting his ruddy complexion and the dark, twinkling eyes that reflect wisdom and cunning.","This entity is a diminutive, bearded figure with a crown atop his head, clad in royal attire and wielding a scepter. His skin has a greyish tint, his eyes are gleaming, and he exudes an aura of authority despite his small stature.","A small, stout figure with a royal demeanor, the Gnome King from NetHack wears a golden crown adorned with precious gems. His skin is earthy brown and he has a long white beard, with his body clad in regal red and gold attire. He carries a scepter in one hand and a round shield in the other, displaying his authority and readiness for battle.","The object is a small humanoid figure with a conical hat, standing upright. It is rendered in a simple, pixelated style with a monochrome palette, primarily in shades of grey. The figure's eyes are two bright white pixels, standing out against its darker body and hat."
Giant,"This towering creature stands at an impressive height, its muscular form displaying raw strength. It has a rugged, weathered face framed by a mass of unruly hair, and its eyes glint with a combination of intelligence and ferocity. Clad in simple, rough-hewn clothing, it carries a massive club, a clear indication of its formidable power.","This colossal being stands tall with broad shoulders, bulging muscles, and a rugged appearance, often carrying a large club. Its features are rough and weathered, with a stern expression and a thick beard, conveying an image of raw strength and power.","A colossal figure standing tall, the Giant object from NetHack is human-like in shape but much larger. Its skin is a stone-like grey, with distinct, muscular features and it's often depicted carrying a massive club. Its clothing is minimal, usually represented in earthy tones.","The object is a large, humanoid figure standing upright, with broad shoulders and muscular limbs. It is rendered in a monochromatic palette, with its body appearing in different shades of grey. Its facial features are simplistic, with two small dots for eyes and a straight line for the mouth."
Stone giant,"This towering figure appears as a hulking humanoid carved from solid stone, with craggy features and muscles etched into its rocky form. It has two large, glowing eyes that seem to bore into the observer, adding a sense of life to its otherwise inanimate form. Its hands are clenched into enormous fists, ready to crush anything in its path.","This entity appears as a towering figure, composed entirely of rugged, grey stone with distinct humanoid features such as eyes, nose, and mouth. Its muscular body and large hands suggest immense strength, and it stands in a posture that conveys both readiness and intimidation.","A massive, towering figure sculpted entirely from grey, rough-hewn stone. The Stone Giant has a humanoid shape, with defined muscles, a stern facial expression, and is often depicted wielding a large boulder. Despite its rocky composition, it carries an aura of life and movement.","The object appears as a towering figure, meticulously carved from a solid block of stone, bearing the distinct features of a giant. It has a humanoid form, with broad shoulders, large muscular limbs, and a stern, chiseled face. Its colour is a monotonous grey, similar to that of unpolished granite, with occasional specks of white and black."
Hill giant,"This creature is a hulking, muscular figure standing at over 10 feet tall, with rough, earthy-toned skin that blends with the rocky terrain. Its facial features are brutish with a sloping forehead, a wide nose, and small, beady eyes. It is typically seen in crude, patchwork clothing, carrying a large club or a stone in its meaty hands.","This creature is an enormous humanoid standing at over 10 feet tall, with a hulking, muscular build, rough, earth-toned skin, and a sparse covering of coarse hair. It has primitive features, including a low brow, small eyes, a wide nose, and a large mouth with uneven teeth, and it carries a huge club.","A Hill Giant from NetHack is a large humanoid figure with a hulking physique. It has green skin, long brown hair, and is usually depicted carrying a massive club. Its attire consists of a crude, brown loincloth.","The object is a large humanoid figure with a stocky build, broad shoulders, and thick limbs. It has a rough, pebbled skin texture that is a deep, earthy brown colour. The figure's facial features are exaggerated, with a prominent brow, wide nose, and a jutting lower jaw with visible teeth."
